filename	caption	second positive	negative_caption
000000334767.jpg	There are a bunch of people cross-country skiing.	Several individuals are skiing cross-country.	There are a bunch of people downhill skiing.
000000014439.jpg	Some people in a grass field flying a kite in the sky.	Some people are in the grass field flying a kite in the sky.	Some people next to a grass field are flying a kite in the sky.
000000481573.jpg	The front edge of a well used skateboard.	The front edge of a well-worn skateboard.	The back edge of a well used skateboard.
000000129492.jpg	There are two children sitting on the floor, one is a baby.	Couple of children sit on the floor, one a baby.	There are two children lying on the floor, one is a baby.
000000446522.jpg	A dog sitting on a chair underneath a painting.	A dog seated on a chair below a painting.	A dog laying on a chair underneath a painting.
000000338624.jpg	A person is walking a dog on a sidewalk.	A person is walking a dog while strolling down the sidewalk.	A person is walking a dog next to a sidewalk.
000000349860.jpg	A person in the air with a skateboard above a half pipe	A person rides a skateboard above a half pipe in the air.	A person in the air with a skateboard below a half pipe.
000000047740.jpg	A person lies on the beach while someone else holds a kite.	Someone holds a kite while a person lies on the beach.	A person sits on the beach while someone else holds a kite.
000000500663.jpg	Cattle are grazing in a bright green pasture along a river and mountains.	A bright green pasture, along a river and mountains, is where the cattle are grazing.	Cattle are running in a bright green pasture along a river and mountains.
000000476258.jpg	A person on a long exposure picture riding an electric skateboard.	A person is captured in a long exposure image while riding an electric skateboard.	A person beside a long exposure picture is riding an electric skateboard.
000000152740.jpg	A herd of animals grazing on a dry grass field.	The dry grass field is grazed by a herd of animals.	A herd of animals running through a dry grass field.
000000410428.jpg	Sheep are on a grassy field and one of them is a white and black baby.	A grassy field contains sheep, and one of them is a white and black baby.	Sheep are beside a grassy field and one of them is a white and black baby.
000000185890.jpg	Two barefoot persons holding game controllers in each hand.	A couple of persons grip game controllers with each hand while barefoot.	Two barefoot persons holding game controllers in one hand.
000000201646.jpg	A person is staring at something in their hand.	An individual is staring at something the individual is holding in their hand.	A person is staring at something on top of their hand.
000000384350.jpg	A red and white plane sitting on a runway.	The red and white plane is positioned on the runway.	A red and white plane flying over a runway.
000000097278.jpg	A person in blue jacket standing on a snowboard.	A person stands on the snowboard wearing blue jacket.	A person in blue jacket falling off a snowboard.
000000190923.jpg	A traffic light with a one way sign near a trash can.	Near the trash can is a traffic light with a one way sign is positioned.	A traffic light with a one way sign far from a trash can.
000000508730.jpg	Two babies sitting on their potties in the bathroom.	Two infants are seated in the restroom on their potties.	Two babies standing on their potties in the bathroom.
000000450488.jpg	A bedroom with a bed and a flat screen TV on top of a wooden dresser.	A bedroom features a bed and a flat-screen TV placed atop a wooden dresser.	A bedroom with a bed and a flat screen TV next to a wooden dresser.
000000067180.jpg	A person sitting on a wooden bench next to a rock wall.	A person is seated beside a rock wall on a wooden bench.	A person standing next to a wooden bench by a rock wall.
000000443303.jpg	A cat is laying in an open suitcase on top of some clothes.	An open suitcase containing a cat positioned on top of some clothes.	A cat is laying in an open suitcase next to some clothes.
000000215259.jpg	Two people playing wii in a living room.	Two people are located in the living room playing wii.	Two people watching wii in a living room.
000000015079.jpg	Two sandwiches have been halved and placed on a plate with a knife.	Two sandwiches have been cut in half and are positioned on a plate with a knife.	Two sandwiches have been halved and placed beside a plate with a knife.
000000430961.jpg	A baseball player preparing to throw a pitch during a game.	The pitcher is preparing to throw a pitch during a baseball game.	A baseball player catching a ball during a game.
000000466125.jpg	A smiling child stands under a pink and red umbrella.	The child stands smiling beneath the pink and red umbrella.	A smiling child stands above a pink and red umbrella.
000000103585.jpg	A clean bathroom with mirrors, sinks, and a toilet.	A tidy bathroom is adorned with mirrors, sinks, and a toilet.	A clean bathroom with mirrors, sinks, and a shower.
000000578500.jpg	A well-lit and well-decorated living room shows a glimpse of a glass front door through the corridor.	The corridor offers a glimpse of a glass front door through the well-lit and well-decorated living room.	A poorly-lit and poorly-decorated living room hides a glimpse of a glass front door through the corridor.
000000131273.jpg	A grey and white dog sitting in the passenger side of a car.	A dog sitting in the car's passenger seat is grey and white.	A grey and white dog sitting out of the passenger side of a car.
000000428454.jpg	A person is on a snow board with a kite.	The kite is with the snowboarding person.	A person is on a snow board without a kite.
